Data Training Analisis Sentimen Pilgun DKI ;;;;
;;;;
;;;;
;;;;
;;;;
No;Tweet;Label;;
547;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
548;rt  ahok agus atau anis atau pilih si anu andalah yang menentukan ahokoke  ;;;
549;anggota kerabat disebut keluarga  jakarta berdebat direbut  ;;;
550;rt  yg paling dibutuhkan jakarta saat ini adalah versi on the si mpok  ;;;
551;rt  bedanya  dan  kalau agus warga berseragam kalau ahok warga beragam ingat kata agus  ;;;
552;rt  di dalam debat  ngawur diluar debat jg ngawur yg begini msh dipujapuji kalian ditugaskan  ;;;
553;rt  ahok djarot wins second round ;;;
554;surat annisa sangat pas dengan kondisi sekarang nindonesiabersamaulama  saveislam n;;;
555;rt  pengen tau apa tanggapan  dan  kalau  gak perlu ditanya ntar ngak  ;;;
556;rt  mpok gmn pendapatnya ttg makan rendang pake kecap  ;;;
557;rt  urusan kip gimana ;;;
558;rt  ini yg gue bilang yg hebat di tim  itu cuma tukang fotonya coba zoom orangnya dikit kebyakan  ;;;
559;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
560;rt  visi misi anies adalah penilaian buruk orang lain  ;;;
561;rt  fakta  calm and  emotionalnnsantun belongs to paslon  ;;;
562;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
563;rt  at least agus ahok ngomongin visi misi mereka di visi misi bukan nyoba ngejatohin orang ya ;;;
564;rt  mohon bersabar ini ujian  ;;;
565;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
566;rt  moment of the day ahok jadi wasit ;;;
567;rt  ahok melerai sylvi dan anies the best moment of ;;;
568;pilkada dki jangan pilih pki berbahaya pilih  atau  saja kesan pasangan calon usa  imlek;;;
569;pilkada dki jangan pilih pki berbahaya pilih  atau  saja ini strategi anies turun  imlek;;;
570;pilkada dki jangan pilih pki berbahaya pilih  atau  saja nu dukung polda bali usu  imlek;;;
571;rt  yah namanya jh  si  ;;;
572;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
573;rt  ikhtisar  lu diam gue kasih  lu nikmati gue yang  lu kerja gue yang mimpin;;;
574;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
575;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
576;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
577;rt  ini harga perberita wartawan yang dipelihara oleh pdip  ;;;
578;rt  bingung ;;;
579;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
580;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
581;rt  now we can see his true color and why mrpresident kicked him out  ;;;
582;rt  ahok salah data di  peringkat kemdikbud ternyata bukan  aniessandiokoce ;;;
583;rt  bangkee siapa nih yang buat meme seperti ini gw ngakak brutal sampai planet jupiter  ;;;
584;rt  so i guess no  and no  work together to make no  looks bad this is not a debate i dont like this ;;;
585;rt  akhirnya publik pun tau mna yg layak dan teruji  ;;;
586;rt  pake urat banget paslon ;;;
587;  dan  sebaiknya pahami dulu undangundang dan hukum pemerintahan daerah setelah itu pelajari data statistik;;;
588;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
589;rt  nno  paslon magang  bawa  paslon profesional bawa prestasinno  paslon pengajar ;;;
590;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
591;rt  surat annisa sangat pas dengan kondisi sekarang nindonesiabersamaulama  saveislam n;;;
592;rt  paslon  once said jangan memilih pemimpin yang justru memecah belah tonight i realisedhe should keep it for himself  ;;;
593; paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray tidur ;;;
594;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
595;rt  anies just lost his cool getting emotional now we all see his true color behind those dreamy words ;;;
596;rt  kirain cm sy yg ngrasa pas  senyumnya sinis saat paslon  sdg bicara mana ;;;
597;rt  itulah tipuan amp;;;
598;rt  paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray ;;;
599;  tiap debat isinya  n kami akan  akan akan  akan akan  akan  pilih yg sudah;;;
600; apik kabeh yo seng adil mending ngko pas pemilihan di coblos kabeh ben ora ono irenirenan ojo lali yo di coblos kabeh;;;
601;temuan mengejutkan keramaian twitter di  dan soal pendukung ahok ;;;
602;rt  om geser omnom blt omnom ngapung omn  ;;;
603;rt  why ahok  djarot always smile smirk and laugh when the other try to kill them because they know at all ;;;
604;rt  rakyat adalah bos kami kami adalah pelayan  nnrt rame rame ;;;
605;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
606;rt  ahy debatnya udah kelas capres aja tegascerdasdan berwibawa ;;;
607;rt  every time ahok opens his mouth we learn something new ;;;
608;rt  pak anies  ini jakarta ini jakarta nnetizen  yang bilang polewali mandar siapa pak  ;;;
609;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
610; paslon  kami akan begini begono harusnya begini begono rencana kami begini begono tapi inyong ora jangji;;;
611;rt  ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah lakukan kami hilangkan pungli dsb ;;;
612;semua orang sudah pintar kok jangan buang uang dan waktu sia sia ;;;
613;rt  ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka ;;;
614;rt  ngakak so hardd  ;;;
615;ganti dia pikir dia paling pintar boleh om  href  for  sep  jan  ;;;
616;strategi terkonyol dalam sejarah acara debat sangat tidak intelek dan memalukan  ;;;
617; ogah pilih koruptor masjid  href  for  kurniawanscreennamerifqiemerahlocationkota pekalongan jawa tengahurlnulldescriptionfollow  dec  ;;;
618;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
619;rt  itulah tipuan amp;;;
620;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
621;rt  you not fair  anda mau naikkan gaji guru paud kalo jd gub dki kenapa anda tidak lakukan ;;;
622; agus mengawang ogahpilihterdakwa bansos pembangunan masjid sylvi nyinyir ;;;
623;rt  ahok strukturnya bagus identified problem gt;;;
624; well pilih saya  tweni nain may ej pertikal hosing statusisasi kemakmuran  ;;;
625;rt  om sandy  are you that low nanya kejelekan ahok lewat mpok silvy come on i know that u are smarter than that ;;;
626;  tolcikampek debatpilkadadki;;;
627;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
628;rt  agus mengawang ogahpilihterdakwa bansos pembangunan masjid sylvi nyinyir ;;;
629;rt  jadi pertanyaannya apa dan ahok pun joged  ;;;
630;rt  setelah menyaksikan  semalam siapa yang paling pantas untuk memimpin dki jakarta;;;
631;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
632;wong debat serius kok malah digawe meme uripmu kakean guyon ndes  situ sehat  ;;;
633;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
634;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
635;rt  ahy debatnya udah kelas capres aja tegascerdasdan berwibawa ;;;
636; coba deh buka mata dan hati lebar lebar dan legowonpak  pantas saja;;;
637;rt  tetep nggak ada solusinya ;;;
638;rt  just want to support ahokdjarot  yuhuu god bless;;;
639;rt  setelah menyaksikan  semalam siapa yang paling pantas untuk memimpin dki jakarta;;;
640;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
641;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
642;rt  keren nih  menyerang masalah pendidikan dki terus cerdas kenapa gak jadi mendikbud aja ;;;
643;rt  ahok terkenal sbg gub tdk santun tp kok kesan saya si ahok paling santun ya hari ini dbanding agus dan anis ;;;
644;rt  pak anies  ini jakarta ini jakarta nnetizen  yang bilang polewali mandar siapa pak  ;;;
645;rt  surat annisa sangat pas dengan kondisi sekarang nindonesiabersamaulama  saveislam n;;;
646;rt  paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray ;;;
647;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
648;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
649; ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara;;;
650;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
651;rt  temuan mengejutkan keramaian twitter di  dan soal pendukung ahok ;;;
652;rt  ahy debatnya udah kelas capres aja tegascerdasdan berwibawa ;;;
653;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
654;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
655;rt  coba deh buka mata dan hati lebar lebar dan legowonpak  pantas saja  ;;;
656;saya doakan semoga sampeyan jadi pemenang di kontes pilgub dki  kalau sudah jadi gubernur jgn seperti ahok;;;
657;rt  apa cuma gue doang tiap paslon  ngomong volume langsung gue gedein sedangkan paslon  ngomong langsung dikecilin lagi  ;;;
658;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
659;rt  jadi pertanyaannya apa dan ahok pun joged  ;;;
660; yang lain akan menanggulangi banjir  no  sudah menghilangkanbanjir;;;
661;selesai debat sylvi langsung disemprot pepo memo ojo ngono pie toh  ;;;
662;  akhirnya kita tahu maksud pak jokowi  href  for  capital region indoneurlnulldescriptionpolitik politik  nov  jan  ;;;
663;rt  bentar lagi bakal muncul jadi trending topic jadi pertanyaannya apa  ;;;
664;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
665;golek benere dewe  menangan dewe tinggal mancing wae  href  for  dec  jan  ;;;
666;rt  waduh beneran kayaknya data dari ibu susanti  ;;;
667; masyarakat indonesia tidak salah memilih pemimpinnsaya mendukung pak aniesnsemangaat ;;;
668;rt  akhirnya kita tahu maksud pak jokowi ;;;
669;rt  selesai debat sylvi langsung disemprot pepo memo ojo ngono pie toh  ;;;
670;rt  ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara ;;;
671;rt  yang lain akan menanggulangi banjir  no  sudah menghilangkanbanjir;;;
672;rt  paslon  once said jangan memilih pemimpin yang justru memecah belah tonight i realisedhe should keep it for himself  ;;;
673;rt  ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara ;;;
674;rt  mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon  menurut sy itu attitude yg kurang ;;;
675;rt  makin wibawa npaslon  makin lucu bingung jawab serangan paslon  makin garang ;;;
676;rt  well pilih saya  tweni nain may ej pertikal hosing statusisasi kemakmuran  ;;;
677;cuma ngasih tauini lho contekanya ketuker daftar belanjaan  debatcagubdki  ;;;
678;rt  ogah pilih koruptor masjid ;;;
679;rt  wong debat serius kok malah digawe meme uripmu kakean guyon ndes  situ sehat  ;;;
680;rt  agus mengawang ogahpilihterdakwa bansos pembangunan masjid sylvi nyinyir ;;;
681;rt  strategi terkonyol dalam sejarah acara debat sangat tidak intelek dan memalukan  ;;;
682;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
683;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
684;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
685;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
686; kata  sunda kelapa kok gk ada kelapanya  kampung rambutan isinya mikrolet ;;;
687;meme aksi ahok saat debat viral di medsos  loguepilihbadja  ahok ;;;
688;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
689;rt  tiap debat isinya  n kami akan  akan akan  akan akan  akan  pilih yg sudah;;;
690;rt  paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray ;;;
691;rt  setelah debat makin mantap dengan mas  dan mpok  yaa pak  ;;;
692;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
693;rt  bergelar phd anies baswedan tidak malu menyerang dgn data  ;;;
694;rt  ahok agus atau anis atau pilih si anu andalah yang menentukan ahokoke  ;;;
695;rt  pak anies kita paham  tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih ;;;
696;rt  bergelar phd anies baswedan tidak malu menyerang dgn data  ;;;
697;rt  pak anies kita paham  tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih ;;;
698;rt  hanya ahok djarot pantas pimpin jakarta  lewat loguepilihbadja  ahok antasari ;;;
699;rt  ujaran kebencian wajar  namany juga orang pen jdi gubernur  bohongin publik juga jadi;;;
700;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
701;kl menurut pak  paslon mana yg penuh retorika atau teori dan paslon mana yg pisi misinya kerja nyata;;;
702;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
703;pilkada dki jangan pilih pki berbahaya pilih  atau  saja tni al tangkap kapal tki  imlek;;;
704;rt  ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara ;;;
705;ahok tetap naik jd gubernurnsalam  jari ;;;
706;rt  gw yakin yang ribut soal cagub dki bukan warga dki doang  malah kadang yang bukan warga dki lebih heboh  matanajwa ;;;
707;pilkada dki jangan pilih pki berbahaya pilih  atau  saja kesan pasangan calon usa  imlek;;;
708;jaman sekarang susah cari pemimpin obyektif yang selalu berpijak pada kebenaran dan layak jadi referensi  ;;;
709;pilkada dki jangan pilih pki berbahaya pilih  atau  saja ini strategi anies turun  imlek;;;
710;dalam  terlihat paslon  dan  bekerja sama menyerang paslon  bukti valid adl katakata paslon  sm pak anies tahu kok;;;
711;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
712;rt  anies happy chinese new year imlek ;;;
713;giovinco jika ke barca saya cuma akan jadi ball boyn  href  web  master agen judi bola website  daftar  live chat  dec  jika ke barca saya cuma akan jadi ball boyn  ;;;
714;rt  jadi pertanyaannya apa dan ahok pun joged  ;;;
715;analisis mengapa ahok unggul  dan paling memuaskan pasca debat  ;;;
716;rt  siapa nih calon gubernur dan wakil gubernur yang kalian tunggu di  ;;;
717;rt  siapa yang paling ingin kalian saksikan di  malam ini;;;
718;paslon  dalam  semakin ditekan dan dikritisi oleh paslon  dan  malah semakin menunjukkan kualitasnya;;;
719;mungkin maksud paslon  sprt ini  href  for  jan  ;;;
720;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
721;rt  paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray ;;;
722;rt  salut sama no  tdk membalas dgn memojokkan pasangan no  n  tp menjelaskan semua program dgn ;;;
723;rt  akhirnya publik pun tau mna yg layak dan teruji  ;;;
724;rt  mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon  menurut sy itu attitude yg kurang ;;;
725;rt  omg anies sangat nyinyir yaa so manipulatif  emotional dimana seorg dosen yg objective hes lost ;;;
726;pepo lupa ngasih tau maap ya nak ujar pepo menyadari hal itu jadi bumerang buahhatinya  ;;;
727;rt  cara paslon  bertanya ke paslon  seperti sedang mengadu domba didepan jutaan pasang mata tanpa ;;;
728;rt  hanya ahok djarot pantas pimpin jakarta  lewat loguepilihbadja  ahok antasari ;;;
729;rt  ahok  gimana caranya membangun tanpa menggusurnnanak pepo  geser dikit paknndikira angkot kali  ;;;
730; capedehh kumpulan tukang tipu  href  for  callerscreennamecallermorninglocationnullurlnulldescriptionuse your brain leave your  nov  ;;;
731;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
732;rt  kl menurut pak  paslon mana yg penuh retorika atau teori dan paslon mana yg pisi misinya kerja nyata  ;;;
733;rt  bergelar phd anies baswedan tidak malu menyerang dgn data  ;;;
734;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
735;rt  momen tak terlupakan  ;;;
736;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
737;nu mengawal nkri fpihti ingin rusak ri amp;;;
738;rt  wasit dadakan  ;;;
739;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
740;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
741;rt  judulnya  di kepungtpi lucunya  menjadi penengah di antara  dan  ahokdjarotpilihan;;;
742;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
743;rt  ahok  gimana caranya membangun tanpa menggusurnnanak pepo  geser dikit paknndikira angkot kali  ;;;
744;rt  burung kutilang suka bernyanyi nyanyinya diatas peti yg lain cuma asal bunyi hanya  yang kasih  ;;;
745;ngeselinitusaat lihat koruptor yg agamanya cuma di bibir amp;;;
746;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
747;pdip sengaja becah belah rakyat warga dki tidak pilih ahok berolah  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
748; secara konten pertanyaan didominasi kritik kinerja petahana tetapi petahana tetap unggul amp;;;
749;rt  orang tua yg  kenal anakanaknya wlpn banyak  ;;;
750;rt  paslon  dalam  semakin ditekan dan dikritisi oleh paslon  dan  malah semakin menunjukkan ;;;
751;rt  coba deh buka mata dan hati lebar lebar dan legowonpak  pantas saja  ;;;
752;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
753;mpok sylvi kurang maksimal memanfaatkan data dalam  dan justru semakin menunjukkan kelemahannya saat berada di birokrasi;;;
754;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
755;rt  akhirnya kita tahu maksud pak jokowi ;;;
756;rt  masyarakat di edukasi  jangan dibodohi  di beri solusi jangan berupa kesemuan janji  ;;;
757;melihat  kemarin jelas bahwa yg terjadi adalah perlawanan thd  unt kembali ke masa lalu;;;
758;jangan sampai anda menyesal setelah memilih pasangan yg salah and so use to brain and i chose no  ;;;
759;rt  paslon  kami akan begini begono harusnya begini begono rencana kami begini begono tapi ;;;
760;rt  burung kutilang suka bernyanyi nyanyinya diatas peti yg lain cuma asal bunyi hanya  yang kasih  ;;;
761;antasari azhar datang  tak datang;;;
762;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
763;gestur anies terlihat sinis dan sandi terlalu fokus soal kewirausahaan kebanyakan hanya bicara akan dlm ;;;
764; jakarta bukan simsalabim byangannya gampang nyatanya susahn;;;
765; yang tengah seperti narasumber yg kiri dan kanan cuma moderator sekaligus penanya;;;
766;ngeselinitusaat lihat pa ditangkap atas laporan warga tapi btp bebas padahal ada laporan bpk  n;;;
767;jadi post  apakah tdk lbh baik  menjadikan tema perubahan mental ini scr lbh kuat frontal jadikan  ;;;
768;rt  meme aksi ahok saat debat viral di medsos  loguepilihbadja  ahok ;;;
769;rt  anies pertanyaannya apa  nsylvi  boleh geser dikit nahok  nagus  bisaa  ;;;
770;rt  gestur anies terlihat sinis dan sandi terlalu fokus soal kewirausahaan kebanyakan hanya bicara akan dlm ;;;
771; tv manakah yg dalam pemberitaan pilkada dki bisa di percaya amp;;;
772; anehh bin ajaib ada paslon memaparkan data transjakarta naik hanya  padahal aslinya hingga  data tidak jelas;;;
773;rt  melihat  kemarin jelas bahwa yg terjadi adalah perlawanan thd  unt kembali ke ;;;
774;paslon  justru tenang amp;;;
775;rt  hanya ahok djarot pantas pimpin jakarta  lewat loguepilihbadja  ahok antasari ;;;
776;rt  tv manakah yg dalam pemberitaan pilkada dki bisa di percaya amp;;;
777;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
778;rt  paslon  akan menaikkan gaji guru paud jika terpilih waktu jadi mendikbud ente ngapain bray ;;;
779;buktikan sejauh apa keberuntungan membawamu nmissuniversengong xi fa;;;
780;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
781;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
782;rt  bergelar phd anies baswedan tidak malu menyerang dgn data  ;;;
783;rt  burung kutilang suka bernyanyi nyanyinya diatas peti yg lain cuma asal bunyi hanya  yang kasih  ;;;
784;rt  best moment  ahok  ;;;
785;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
786; salah pilih pasangan atau jodoh yg ;;;
787; prtnyaan pk ahok baguspnasran jg bgmn cara geser pmukiman;;;
788;disebut orang baik kalau bisa memberi contoh yang baikn ;;;
789;saat anies bicara soal pendidikan pada  yang terjadi justru semakin menguatkan alasan jokowi memberhentikannya dari menteri;;;
790;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
791;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
792;rt  pilih yang mana nih guys  ;;;
793;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
794;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
795;rt  cara paslon  bertanya ke paslon  seperti sedang mengadu domba didepan jutaan pasang mata tanpa ;;;
796;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
797;rt  eh ini nyinyir dulu ya itu paslon  punya program ga sih daritadi kerjaannya  aib orang doang gemetz ;;;
798;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
799;rt  urutan pertama best moment  pak basuki misahin bu sylvie amp;;;
800;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
801;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis;;;
802;masalah berawal dari kasus penistaan agamanpenyelesaiannya jadi sumber masalah baru berwujud kriminalisasi amp;;;
803;bener  bener kelar dki kalo emak yang pic  jadi;;;
804;rt  paslon  justru tenang amp;;;
805;paslon  melakukan propaganda paslon  melakukan kampanye paslon  melakukan agitasi dalam ;;;
806;wau super sekali smpai pagi ini hashtag  msh bertahan ;;;
807;ini pilkada dki boss bukan pilkades pil kb pilkadut bkn jg konser boy band hadeh anak muda  href  for  mar  jan  ;;;
808;rt  jangan sampai anda menyesal setelah memilih pasangan yg salah and so use to brain and i chose no  ;;;
809;rt  seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang ;;;
810;rt  come on people can we just let ahok back to work anies back to school and agus back to his mamas loving arms ;;;
811;profdrhj ini tnyata lupa kl attitude itu imaging atau memang itu karakter asli yg muncul spontan  ;;;
812;rt  paslon  dalam  semakin ditekan dan dikritisi oleh paslon  dan  malah semakin menunjukkan ;;;
813;pdip sengaja becah belah rakyat warga dki tidak pilih ahok singkaw  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
814;rt  ahok tetap naik jd gubernurnsalam  jari ;;;
815;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
816; layak untuk diberi kesempatan karena cukup menguasai masalah tidak normatif tahu apa yg harus ;;;
817;rt  anies were seeing your true colors embarrassingdefensive man with nothing to offer for jakarta go home youre ;;;
818; birokrasi yg melayani rakyat emank badja gak ada lawan nya;;;
819; bagus terlihat dari hasil nyata sangat menguasai masalah teknis sikap tegasnya memang kadang membawa ;;;
820; baiklah mau komentar apa juga ;;;
821;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
822;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
823;paslon  nmiliter loncat k gubernurnnpaslon  nbupati naik wagub naik gbernurnnpaslon  ndosen jd mentri dcopotamp;;;
824;pilkada dki jangan pilih pki berbahaya pilih  atau  saja tni al tangkap kapal tki  imlek;;;
825;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
826;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
827;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
828;rt  anies semakin terlihat aslinya masyarakat sudah cerdas tidak mudah dibohongi dengan  yang mengelabui data ;;;
829;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
830;rt  urutan pertama best moment  pak basuki misahin bu sylvie amp;;;
831;rt  nlansia ibuibu dan wanita jakarta yang selayaknya dimuliakan bagi si terdakwa ahok cuma  ;;;
832;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
833;rt  perhatikan tiap sandi jawab seluruh pertanyaan pasti  nyambung ke lapangan pekerjaan hanya menguasai itu saja ;;;
834;rt  best moment  ahok  ;;;
835;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
836;pengamat khawatirkan antasari dijadikan komoditas politik nnegarakokjadibegini rezimpanik  ;;;
837;apapun pertanyaanya jawabnya tetap yg penting kreatif n goodwillnnyg tdk setuju silahkan keluar dari habitat ;;;
838;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
839;  cakep berentiin reklamasi agar kita dpt pantai pass di depan rumah kita pass lagi musim hujan  hadew;;;
840;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
841;rt  balik lg ke pekerjaan  balik jadi  balik jadi  balik jadi motivator ;;;
842;anissandi pro lingkungan tanah sbg fungsi lingkungan resapan air harus di jaga ;;;
843;rt  cara mas anies membuka sesi debat elegan dan keren banget  coblosanissandi;;;
844;ide cerdas paslon  ingin memberikan subsidi kpd angkot bagus jakarta amp;;;
845;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
846;rt  paslon  once said jangan memilih pemimpin yang justru memecah belah tonight i realisedhe should keep it for himself  ;;;
